Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.965 ± 0.008,0.949 ± 0.009,0.917 ± 0.011,0.862 ± 0.014,0.830 ± 0.015
set_prec,0.960 ± 0.008,0.942 ± 0.008,0.912 ± 0.011,0.856 ± 0.012,0.800 ± 0.015
