Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.408 ± 0.008,1.408 ± 0.008,1.408 ± 0.008,1.408 ± 0.008,1.408 ± 0.008
set_prec,1.593 ± 0.009,1.593 ± 0.009,1.593 ± 0.009,1.593 ± 0.009,1.593 ± 0.009
