Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,19.456 ± 0.492,17.657 ± 0.448,15.821 ± 0.409,13.860 ± 0.344,12.849 ± 0.320
set_prec,31.523 ± 0.728,28.191 ± 0.680,24.205 ± 0.671,19.509 ± 0.574,16.087 ± 0.511
