Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,2.155 ± 0.474,2.155 ± 0.474,2.155 ± 0.474,2.155 ± 0.474,2.155 ± 0.474
set_prec,2.268 ± 0.549,2.268 ± 0.549,2.268 ± 0.549,2.268 ± 0.549,2.268 ± 0.549
set_min,1.036 ± 0.007,1.036 ± 0.007,1.036 ± 0.007,1.036 ± 0.007,1.036 ± 0.007
ArbiTree-CQC,46.645 ± 9.205,46.645 ± 9.205,46.645 ± 9.205,46.645 ± 9.205,46.645 ± 9.205
