Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.950 ± 0.013,0.929 ± 0.013,0.898 ± 0.016,0.848 ± 0.020,0.799 ± 0.020
set_prec,0.947 ± 0.011,0.930 ± 0.013,0.897 ± 0.015,0.848 ± 0.014,0.797 ± 0.018
set_min,0.950 ± 0.012,0.930 ± 0.012,0.899 ± 0.013,0.848 ± 0.018,0.798 ± 0.019
ArbiTree-CQC,0.972 ± 0.010,0.957 ± 0.010,0.933 ± 0.013,0.885 ± 0.018,0.838 ± 0.021
