Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,16.242 ± 0.529,13.473 ± 0.425,10.568 ± 0.334,8.173 ± 0.255,6.731 ± 0.212
set_prec,24.364 ± 0.717,20.643 ± 0.655,16.285 ± 0.532,12.154 ± 0.401,9.334 ± 0.333
set_min,16.611 ± 0.546,14.381 ± 0.479,11.866 ± 0.422,9.083 ± 0.337,7.256 ± 0.274
ArbiTree-CQC,384.310 ± 4.048,375.790 ± 4.977,361.070 ± 6.273,339.189 ± 7.697,317.092 ± 8.518
