Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,16.994 ± 0.201,15.637 ± 0.193,14.303 ± 0.182,12.459 ± 0.163,11.081 ± 0.149
set_prec,27.346 ± 0.322,25.305 ± 0.338,22.905 ± 0.356,19.405 ± 0.367,16.542 ± 0.366
ArbiTree-CQC,764.074 ± 2.753,754.062 ± 5.033,735.411 ± 7.471,696.172 ± 9.168,650.809 ± 12.813
