Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.950 ± 0.012,0.928 ± 0.013,0.898 ± 0.016,0.851 ± 0.019,0.798 ± 0.017
set_prec,0.954 ± 0.009,0.931 ± 0.013,0.900 ± 0.017,0.852 ± 0.019,0.800 ± 0.021
ArbiTree-CQC,1.000 ± 0.001,0.998 ± 0.002,0.992 ± 0.005,0.968 ± 0.009,0.933 ± 0.012
