Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,8.059 ± 1.545,8.059 ± 1.545,8.059 ± 1.545,8.059 ± 1.545,8.059 ± 1.545
set_prec,9.129 ± 1.726,9.129 ± 1.726,9.129 ± 1.726,9.129 ± 1.726,9.129 ± 1.726
set_min,1.763 ± 0.329,1.763 ± 0.329,1.763 ± 0.329,1.763 ± 0.329,1.763 ± 0.329
ArbiTree-CQC,326.333 ± 19.422,326.333 ± 19.422,326.333 ± 19.422,326.333 ± 19.422,326.333 ± 19.422
