Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.950 ± 0.009,0.930 ± 0.012,0.900 ± 0.015,0.850 ± 0.019,0.801 ± 0.020
set_prec,0.949 ± 0.011,0.928 ± 0.012,0.898 ± 0.015,0.848 ± 0.018,0.797 ± 0.020
set_min,0.949 ± 0.012,0.929 ± 0.013,0.898 ± 0.016,0.846 ± 0.020,0.794 ± 0.020
ArbiTree-CQC,0.977 ± 0.008,0.962 ± 0.011,0.937 ± 0.013,0.892 ± 0.019,0.843 ± 0.019
