Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,14.207 ± 0.412,12.005 ± 0.351,9.663 ± 0.282,7.509 ± 0.215,6.319 ± 0.175
set_prec,21.629 ± 0.766,18.574 ± 0.693,15.403 ± 0.632,11.649 ± 0.515,9.020 ± 0.419
set_min,15.676 ± 0.606,13.670 ± 0.567,11.640 ± 0.536,9.233 ± 0.468,7.629 ± 0.425
ArbiTree-CQC,734.878 ± 8.993,717.204 ± 10.868,691.744 ± 14.236,645.393 ± 14.612,602.280 ± 15.894
