Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,7.216 ± 1.457,7.216 ± 1.457,7.216 ± 1.457,7.216 ± 1.457,7.216 ± 1.457
set_prec,8.043 ± 1.626,8.043 ± 1.626,8.043 ± 1.626,8.043 ± 1.626,8.043 ± 1.626
set_min,1.751 ± 0.374,1.751 ± 0.374,1.751 ± 0.374,1.751 ± 0.374,1.751 ± 0.374
ArbiTree-CQC,268.725 ± 18.395,268.725 ± 18.395,268.725 ± 18.395,268.725 ± 18.395,268.725 ± 18.395
