Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.949 ± 0.011,0.930 ± 0.013,0.899 ± 0.017,0.850 ± 0.022,0.800 ± 0.025
set_prec,0.949 ± 0.012,0.929 ± 0.014,0.897 ± 0.016,0.846 ± 0.021,0.797 ± 0.023
ArbiTree-CQC,0.999 ± 0.001,0.998 ± 0.002,0.994 ± 0.004,0.988 ± 0.006,0.974 ± 0.010
