Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,22.756 ± 0.239,21.062 ± 0.233,19.127 ± 0.212,16.919 ± 0.185,15.271 ± 0.170
set_prec,45.217 ± 0.917,40.549 ± 0.877,35.204 ± 0.836,28.168 ± 0.710,23.510 ± 0.618
ArbiTree-CQC,768.549 ± 1.713,763.452 ± 2.615,755.460 ± 4.440,737.070 ± 7.485,712.705 ± 9.483
