Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,58.000 ± 0.000,58.000 ± 0.000,28.030 ± 0.630,27.522 ± 0.616,26.957 ± 0.601
set_prec,37.214 ± 0.860,35.882 ± 0.867,34.034 ± 0.857,31.747 ± 0.834,29.861 ± 0.815
set_min,28.406 ± 0.649,28.078 ± 0.658,27.547 ± 0.674,26.694 ± 0.684,25.878 ± 0.676
ArbiTree-CQC,58.000 ± 0.000,58.000 ± 0.000,57.944 ± 0.138,57.890 ± 0.210,57.847 ± 0.250
