Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.535 ± 0.189,1.535 ± 0.189,1.535 ± 0.189,1.535 ± 0.189,1.535 ± 0.189
set_prec,1.529 ± 0.186,1.529 ± 0.186,1.529 ± 0.186,1.529 ± 0.186,1.529 ± 0.186
set_min,0.824 ± 0.007,0.824 ± 0.007,0.824 ± 0.007,0.824 ± 0.007,0.824 ± 0.007
ArbiTree-CQC,2.687 ± 0.315,2.687 ± 0.315,2.687 ± 0.315,2.687 ± 0.315,2.687 ± 0.315
