Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,0.899 ± 0.015,0.850 ± 0.018,0.800 ± 0.019
set_prec,0.946 ± 0.011,0.927 ± 0.013,0.897 ± 0.014,0.848 ± 0.018,0.798 ± 0.020
set_min,0.949 ± 0.011,0.928 ± 0.014,0.899 ± 0.015,0.847 ± 0.018,0.796 ± 0.018
ArbiTree-CQC,1.000 ± 0.000,1.000 ± 0.000,0.997 ± 0.008,0.993 ± 0.015,0.990 ± 0.017
