Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,0.902 ± 0.016,0.848 ± 0.020,0.802 ± 0.020
set_prec,0.946 ± 0.012,0.927 ± 0.012,0.896 ± 0.014,0.846 ± 0.017,0.797 ± 0.022
set_min,0.947 ± 0.011,0.928 ± 0.013,0.897 ± 0.013,0.847 ± 0.015,0.797 ± 0.019
ArbiTree-CQC,0.996 ± 0.005,0.995 ± 0.006,0.988 ± 0.010,0.965 ± 0.017,0.926 ± 0.021
