Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,2.809 ± 0.595,2.809 ± 0.595,2.809 ± 0.595,2.809 ± 0.595,2.809 ± 0.595
set_prec,2.752 ± 0.619,2.752 ± 0.619,2.752 ± 0.619,2.752 ± 0.619,2.752 ± 0.619
set_min,0.816 ± 0.042,0.816 ± 0.042,0.816 ± 0.042,0.816 ± 0.042,0.816 ± 0.042
ArbiTree-CQC,5.156 ± 1.026,5.156 ± 1.026,5.156 ± 1.026,5.156 ± 1.026,5.156 ± 1.026
