Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,58.000 ± 0.000,58.000 ± 0.000,13.415 ± 0.426,12.481 ± 0.394,11.921 ± 0.376
set_prec,18.536 ± 0.540,17.490 ± 0.519,16.256 ± 0.478,14.706 ± 0.452,13.451 ± 0.423
ArbiTree-CQC,57.505 ± 0.433,57.253 ± 0.504,56.618 ± 0.683,54.584 ± 1.018,51.776 ± 1.282
