Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,15.334 ± 0.452,14.169 ± 0.422,12.985 ± 0.382,11.556 ± 0.336,10.596 ± 0.308
set_prec,25.692 ± 0.793,23.487 ± 0.756,20.576 ± 0.707,17.427 ± 0.641,15.103 ± 0.590
set_min,20.658 ± 0.653,19.598 ± 0.629,18.179 ± 0.606,16.100 ± 0.568,14.694 ± 0.560
ArbiTree-CQC,57.708 ± 0.384,57.597 ± 0.405,57.429 ± 0.443,56.643 ± 0.891,54.814 ± 1.214
