Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.505 ± 0.187,1.505 ± 0.187,1.505 ± 0.187,1.505 ± 0.187,1.505 ± 0.187
set_prec,1.555 ± 0.162,1.555 ± 0.162,1.555 ± 0.162,1.555 ± 0.162,1.555 ± 0.162
set_min,1.024 ± 0.127,1.024 ± 0.127,1.024 ± 0.127,1.024 ± 0.127,1.024 ± 0.127
ArbiTree-CQC,2.685 ± 0.359,2.685 ± 0.359,2.685 ± 0.359,2.685 ± 0.359,2.685 ± 0.359
