Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.951 ± 0.010,0.931 ± 0.012,0.901 ± 0.014,0.852 ± 0.016,0.800 ± 0.019
set_prec,0.951 ± 0.010,0.930 ± 0.011,0.900 ± 0.012,0.851 ± 0.016,0.802 ± 0.019
set_min,0.950 ± 0.011,0.931 ± 0.013,0.900 ± 0.013,0.850 ± 0.017,0.803 ± 0.020
ArbiTree-CQC,1.000 ± 0.001,0.999 ± 0.001,0.999 ± 0.002,0.993 ± 0.009,0.972 ± 0.017
