Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.952 ± 0.011,0.932 ± 0.013,0.903 ± 0.015,0.852 ± 0.020,0.805 ± 0.023
set_prec,0.951 ± 0.009,0.929 ± 0.012,0.901 ± 0.015,0.850 ± 0.018,0.799 ± 0.021
ArbiTree-CQC,1.000 ± 0.000,1.000 ± 0.001,0.999 ± 0.001,0.997 ± 0.002,0.994 ± 0.003
