Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,7.607 ± 1.270,7.607 ± 1.270,7.607 ± 1.270,7.607 ± 1.270,7.607 ± 1.270
set_prec,8.446 ± 1.377,8.446 ± 1.377,8.446 ± 1.377,8.446 ± 1.377,8.446 ± 1.377
set_min,1.305 ± 0.054,1.305 ± 0.054,1.305 ± 0.054,1.305 ± 0.054,1.305 ± 0.054
ArbiTree-CQC,296.958 ± 21.059,296.958 ± 21.059,296.958 ± 21.059,296.958 ± 21.059,296.958 ± 21.059
