Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,25.223 ± 0.270,24.165 ± 0.265,22.778 ± 0.247,21.163 ± 0.232,19.934 ± 0.223
set_prec,37.961 ± 0.345,36.376 ± 0.366,34.142 ± 0.428,30.678 ± 0.486,27.604 ± 0.497
ArbiTree-CQC,772.306 ± 0.461,770.983 ± 1.033,767.366 ± 1.808,758.968 ± 2.959,746.005 ± 4.649
