Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.544 ± 0.026,1.544 ± 0.026,1.544 ± 0.026,1.544 ± 0.026,1.544 ± 0.026
set_prec,1.556 ± 0.026,1.556 ± 0.026,1.556 ± 0.026,1.556 ± 0.026,1.556 ± 0.026
