Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,0.962 ± 0.009,0.937 ± 0.011,0.898 ± 0.014,0.856 ± 0.012
set_prec,0.763 ± 0.018,0.703 ± 0.022,0.630 ± 0.022,0.545 ± 0.020,0.443 ± 0.022
