Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,30.488 ± 0.774,27.706 ± 0.660,25.492 ± 0.602,24.045 ± 0.565
set_prec,23.002 ± 0.651,20.655 ± 0.619,17.911 ± 0.562,14.752 ± 0.490,12.372 ± 0.407
