Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.392 ± 0.008,1.392 ± 0.008,1.392 ± 0.008,1.392 ± 0.008,1.392 ± 0.008
set_prec,1.559 ± 0.008,1.559 ± 0.008,1.559 ± 0.008,1.559 ± 0.008,1.559 ± 0.008
ADiT_DSI,792.170 ± 23.936,792.170 ± 23.936,792.170 ± 23.936,792.170 ± 23.936,792.170 ± 23.936
ArbiTree-CQC,79.637 ± 1.208,79.637 ± 1.208,79.637 ± 1.208,79.637 ± 1.208,79.637 ± 1.208
