Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.948 ± 0.011,0.929 ± 0.012,0.901 ± 0.015,0.851 ± 0.018,0.799 ± 0.019
set_prec,0.952 ± 0.009,0.933 ± 0.012,0.902 ± 0.013,0.850 ± 0.017,0.795 ± 0.020
set_min,0.949 ± 0.011,0.929 ± 0.013,0.901 ± 0.015,0.848 ± 0.019,0.799 ± 0.024
ADiT_DSI,0.991 ± 0.004,0.990 ± 0.004,0.988 ± 0.005,0.985 ± 0.006,0.981 ± 0.007
ArbiTree-CQC,0.949 ± 0.011,0.927 ± 0.012,0.896 ± 0.014,0.849 ± 0.018,0.798 ± 0.021
