Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,27.722 ± 0.730,25.688 ± 0.687,23.315 ± 0.626,20.288 ± 0.552,17.761 ± 0.489
set_prec,31.108 ± 0.389,28.540 ± 0.362,25.691 ± 0.324,21.867 ± 0.326,18.757 ± 0.326
ADiT_DSI,26.968 ± 0.746,26.965 ± 0.747,24.415 ± 0.706,22.306 ± 0.651,20.505 ± 0.626
ArbiTree-CQC,690.414 ± 10.781,665.321 ± 12.249,624.442 ± 14.545,567.882 ± 16.399,511.301 ± 18.381
