Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,18.095 ± 0.230,16.793 ± 0.215,15.380 ± 0.198,13.715 ± 0.173,12.623 ± 0.159
set_prec,43.079 ± 0.607,39.147 ± 0.632,34.374 ± 0.693,28.161 ± 0.664,23.659 ± 0.635
set_min,28.387 ± 0.343,26.443 ± 0.343,23.909 ± 0.367,20.480 ± 0.371,17.840 ± 0.362
ArbiTree-CQC,756.018 ± 5.187,746.082 ± 6.243,728.081 ± 7.792,692.770 ± 9.788,654.655 ± 12.437
