Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.948 ± 0.009,0.927 ± 0.011,0.896 ± 0.013,0.846 ± 0.016,0.798 ± 0.017
set_prec,0.953 ± 0.009,0.933 ± 0.013,0.904 ± 0.015,0.853 ± 0.019,0.803 ± 0.021
set_min,0.952 ± 0.010,0.931 ± 0.012,0.904 ± 0.015,0.855 ± 0.019,0.803 ± 0.020
ArbiTree-CQC,0.993 ± 0.005,0.989 ± 0.006,0.976 ± 0.007,0.957 ± 0.010,0.930 ± 0.012
