Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,6.891 ± 1.688,6.891 ± 1.688,6.891 ± 1.688,6.891 ± 1.688,6.891 ± 1.688
set_prec,7.719 ± 1.952,7.719 ± 1.952,7.719 ± 1.952,7.719 ± 1.952,7.719 ± 1.952
set_min,1.286 ± 0.024,1.286 ± 0.024,1.286 ± 0.024,1.286 ± 0.024,1.286 ± 0.024
ArbiTree-CQC,321.772 ± 56.929,321.772 ± 56.929,321.772 ± 56.929,321.772 ± 56.929,321.772 ± 56.929
