Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,774.000 ± 0.000,774.000 ± 0.000,32.921 ± 0.788,31.937 ± 0.770
set_prec,50.806 ± 1.060,47.913 ± 0.980,44.245 ± 0.902,38.615 ± 0.792,34.335 ± 0.709
