Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.877 ± 0.013,0.817 ± 0.014
set_prec,0.979 ± 0.006,0.962 ± 0.008,0.941 ± 0.010,0.884 ± 0.010,0.836 ± 0.013
