Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.839 ± 0.081,1.839 ± 0.081,1.839 ± 0.081,1.839 ± 0.081,1.839 ± 0.081
set_prec,1.633 ± 0.043,1.633 ± 0.043,1.633 ± 0.043,1.633 ± 0.043,1.633 ± 0.043
