Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,4.810 ± 0.968,4.810 ± 0.968,4.810 ± 0.968,4.810 ± 0.968,4.810 ± 0.968
set_prec,5.236 ± 1.042,5.236 ± 1.042,5.236 ± 1.042,5.236 ± 1.042,5.236 ± 1.042
set_min,1.362 ± 0.234,1.362 ± 0.234,1.362 ± 0.234,1.362 ± 0.234,1.362 ± 0.234
ArbiTree-CQC,81.375 ± 17.612,81.375 ± 17.612,81.375 ± 17.612,81.375 ± 17.612,81.375 ± 17.612
