Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,17.049 ± 0.636,14.895 ± 0.548,13.218 ± 0.480,11.695 ± 0.426,10.503 ± 0.377
set_prec,21.929 ± 0.545,20.001 ± 0.488,17.819 ± 0.422,14.878 ± 0.351,12.749 ± 0.307
ArbiTree-CQC,392.463 ± 3.832,386.976 ± 4.169,377.641 ± 5.056,356.373 ± 7.654,334.708 ± 8.862
