Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.949 ± 0.011,0.929 ± 0.014,0.898 ± 0.017,0.845 ± 0.020,0.799 ± 0.024
set_prec,0.953 ± 0.011,0.931 ± 0.012,0.899 ± 0.014,0.851 ± 0.017,0.802 ± 0.020
set_min,0.952 ± 0.011,0.931 ± 0.013,0.899 ± 0.015,0.853 ± 0.018,0.803 ± 0.022
ArbiTree-CQC,0.984 ± 0.008,0.974 ± 0.011,0.959 ± 0.012,0.919 ± 0.018,0.875 ± 0.021
